date,balance_free,balance_staked,balance_total,timestamp
2024-07-15 23:59:48.001,288.219317169,53202.565961157,53490.785278326,2024-07-15T23:59:48.001Z
2024-07-16 23:59:48.001,288.219317169,53308.48306479,53596.702381959,2024-07-16T23:59:48.001Z
2024-07-17 23:59:48.001,288.219317169,53415.031683387,53703.251000556,2024-07-17T23:59:48.001Z
2024-07-18 23:59:48.003,288.219317169,53515.964816006,53804.184133175,2024-07-18T23:59:48.003Z
2024-07-19 23:59:48.007,288.219317169,53621.328743405,53909.548060574,2024-07-19T23:59:48.007Z
2024-07-20 23:59:48.003,288.219317169,53726.295048742,54014.514365911,2024-07-20T23:59:48.003Z
2024-07-23 23:59:48.004,288.219317169,54039.66210043,54327.881417599,2024-07-23T23:59:48.004Z
2024-07-24 23:59:48.002,288.219317169,54147.40051471,54435.619831879,2024-07-24T23:59:48.002Z
2024-07-25 23:59:48.001,288.219317169,54255.265242447,54543.484559616,2024-07-25T23:59:48.001Z
2024-07-27 23:59:48.007,288.219317169,54456.606751847,54744.826069016,2024-07-27T23:59:48.007Z
2024-07-28 23:59:48.001,288.219317169,54557.428945362,54845.648262531,2024-07-28T23:59:48.001Z
2024-07-29 23:59:48.006,288.219317169,54653.16081898,54941.380136149,2024-07-29T23:59:48.006Z
2024-07-31 23:59:48.001,288.219317169,54835.527550069,55123.746867238,2024-07-31T23:59:48.001Z
2024-08-02 23:59:48.001,288.219317169,55024.754929207,55312.974246376,2024-08-02T23:59:48.001Z
2024-08-04 23:59:48.001,288.219317169,55217.747565967,55505.966883136,2024-08-04T23:59:48.001Z
2024-08-05 23:59:48.004,288.219317169,55308.998466736,55597.217783905,2024-08-05T23:59:48.004Z
2024-08-06 23:59:48.001,288.219317169,55402.026880765,55690.246197934,2024-08-06T23:59:48.001Z
2024-08-07 23:59:48.001,288.219317169,55489.452449554,55777.671766723,2024-08-07T23:59:48.001Z
2024-08-08 23:59:48.001,288.219317169,55581.550237699,55869.769554868,2024-08-08T23:59:48.001Z
2024-08-10 23:59:48.001,288.219317169,55762.815810762,56051.035127931,2024-08-10T23:59:48.001Z
2024-08-11 23:59:48.006,288.219317169,55853.28860937,56141.507926539,2024-08-11T23:59:48.006Z
2024-08-12 23:59:48.006,288.219317169,55945.3346419,56233.553959069,2024-08-12T23:59:48.006Z
2024-08-13 23:59:48.001,288.219317169,56037.755408191,56325.97472536,2024-08-13T23:59:48.001Z
2024-08-15 23:59:48.001,288.219317169,56224.841766512,56513.061083681,2024-08-15T23:59:48.001Z
2024-08-17 23:59:48.003,288.219317169,56404.503259295,56692.722576464,2024-08-17T23:59:48.003Z
2024-08-18 23:59:48.002,288.219317169,56494.817008498,56783.036325667,2024-08-18T23:59:48.002Z
2024-08-19 23:59:48.002,288.219317169,56583.034987246,56871.254304415,2024-08-19T23:59:48.002Z
2024-08-20 23:59:48.004,288.219317169,56668.726435035,56956.945752204,2024-08-20T23:59:48.004Z
2024-08-22 23:59:48.001,288.219317169,56840.527148348,57128.746465517,2024-08-22T23:59:48.001Z
2024-08-24 23:59:48.001,282.835135477,57020.637655652,57303.565791129,2024-08-24T23:59:48.001Z
2024-08-25 23:59:48.005,282.835135477,57135.345909938,57418.274045415,2024-08-25T23:59:48.005Z
2024-08-27 23:59:48.001,282.436654924,57373.033772697,57655.563427621,2024-08-27T23:59:48.001Z
2024-08-28 23:59:48.002,282.436654924,57489.219058974,57771.748713898,2024-08-28T23:59:48.002Z
2024-08-29 23:59:48.002,282.436654924,57614.233802657,57896.763457581,2024-08-29T23:59:48.002Z
2024-08-30 23:59:48.001,282.436654924,57732.5170505,58015.046705424,2024-08-30T23:59:48.001Z
2024-08-31 23:59:48.004,282.436654924,57849.570535927,58132.100190851,2024-08-31T23:59:48.004Z
2024-09-01 23:59:48.004,282.436654924,57974.500224525,58257.029879449,2024-09-01T23:59:48.004Z
2024-09-03 23:59:48.001,282.436654924,58215.839968024,58498.369622948,2024-09-03T23:59:48.001Z
2024-09-04 23:59:48.001,282.436654924,58335.583912032,58618.113566956,2024-09-04T23:59:48.001Z
2024-09-05 23:59:48.002,282.436654924,58451.320551295,58733.850206219,2024-09-05T23:59:48.002Z
2024-09-06 23:59:48.003,282.436654924,58566.716363115,58849.246018039,2024-09-06T23:59:48.003Z
2024-09-07 23:59:48.002,282.436654924,58677.827620288,58960.357275212,2024-09-07T23:59:48.002Z
2024-09-08 23:59:48.004,282.436654924,58782.742339502,59065.271994426,2024-09-08T23:59:48.004Z
2024-09-09 23:59:48.010,282.205702601,58873.356395466,59155.655098067,2024-09-09T23:59:48.010Z
2024-09-10 23:59:48.001,282.205578004,59053.481314878,59335.779892882,2024-09-10T23:59:48.001Z
2024-09-11 23:59:48.001,282.205578004,59569.572875908,59851.871453912,2024-09-11T23:59:48.001Z
2024-09-12 23:59:48.001,282.205578004,60096.532166338,60378.830744342,2024-09-12T23:59:48.001Z
2024-09-14 23:59:48.001,282.205578004,60329.16620012,60611.464778124,2024-09-14T23:59:48.001Z
2024-09-15 23:59:48.001,282.205578004,60441.877513276,60724.17609128,2024-09-15T23:59:48.001Z
2024-09-16 23:59:48.005,282.205578004,60554.196322621,60836.494900625,2024-09-16T23:59:48.005Z
2024-09-17 23:59:48.002,282.205453367,60663.381523634,60945.679977001,2024-09-17T23:59:48.002Z
2024-09-19 23:59:48.002,282.205453367,60874.698686359,61156.997139726,2024-09-19T23:59:48.002Z
2024-09-20 23:59:48.003,282.205453367,60977.033736413,61259.33218978,2024-09-20T23:59:48.003Z
2024-09-21 23:59:48.007,282.205453367,61081.388953801,61363.687407168,2024-09-21T23:59:48.007Z
2024-09-22 23:59:48.004,282.205453367,61185.514266094,61467.812719461,2024-09-22T23:59:48.004Z
2024-09-23 23:59:48.003,282.139204245,61290.114111338,61572.412315583,2024-09-23T23:59:48.003Z
2024-09-24 23:59:48.003,282.139204245,61395.908530968,61678.206735213,2024-09-24T23:59:48.003Z
2024-09-25 23:59:48.002,281.917249347,61499.848478861,61781.924728208,2024-09-25T23:59:48.002Z
2024-09-26 23:59:48.003,280.617715644,61599.687822981,61880.464538625,2024-09-26T23:59:48.003Z
2024-09-27 23:59:48.010,280.617715644,61704.471722334,61985.248437978,2024-09-27T23:59:48.010Z
2024-09-29 23:59:48.005,280.617715644,61913.806777823,62194.583493467,2024-09-29T23:59:48.005Z
2024-09-30 23:59:48.002,280.617715644,62020.22706413,62301.003779774,2024-09-30T23:59:48.002Z
2024-10-01 23:59:48.002,280.617715644,62128.404805158,62409.181520802,2024-10-01T23:59:48.002Z
2024-10-03 23:59:48.008,280.617715644,62346.828341744,62627.605057388,2024-10-03T23:59:48.008Z
2024-10-05 23:59:48.001,280.617591047,62568.684686307,62849.461277354,2024-10-05T23:59:48.001Z
2024-10-06 23:59:48.003,280.617591047,62679.23613256,62960.012723607,2024-10-06T23:59:48.003Z
2024-10-07 23:59:48.002,280.617591047,62787.343053899,63068.119644946,2024-10-07T23:59:48.002Z
2024-10-08 23:59:48.005,280.617591047,62895.95872502,63176.735316067,2024-10-08T23:59:48.005Z
2024-10-10 23:59:48.003,280.617591047,63110.970930618,63391.747521665,2024-10-10T23:59:48.003Z
2024-10-12 23:59:48.006,280.617591047,63321.222993334,63601.999584381,2024-10-12T23:59:48.006Z
2024-10-13 23:59:48.001,280.617591047,63423.936014599,63704.712605646,2024-10-13T23:59:48.001Z
2024-10-14 23:59:48.001,280.617591047,63527.294759324,63808.071350371,2024-10-14T23:59:48.001Z
2024-10-15 23:59:48.001,280.617591047,63632.332350033,63913.10894108,2024-10-15T23:59:48.001Z
2024-10-16 23:59:48.002,280.617591047,63736.364043759,64017.140634806,2024-10-16T23:59:48.002Z
2024-10-17 23:59:48.010,280.160840464,63841.206757858,64121.526598322,2024-10-17T23:59:48.010Z
2024-10-19 23:59:48.001,280.160840464,64040.845344218,64321.165184682,2024-10-19T23:59:48.001Z
2024-10-21 23:59:48.003,280.160840464,64214.911855494,64495.231695958,2024-10-21T23:59:48.003Z
2024-10-25 23:59:48.002,279.322808629,64556.543750386,64836.025559015,2024-10-25T23:59:48.002Z
2024-10-26 23:59:48.002,279.240648042,64642.9491504,64922.348798442,2024-10-26T23:59:48.002Z
2024-10-27 23:59:48.004,279.240648042,64727.984476114,65007.384124156,2024-10-27T23:59:48.004Z
2024-10-29 23:59:48.005,279.240648042,64899.674456547,65179.074104589,2024-10-29T23:59:48.005Z
2024-10-30 23:59:48.002,279.240648042,64987.362654945,65266.762302987,2024-10-30T23:59:48.002Z
2024-10-31 23:59:48.004,279.240523445,65082.1278343,65361.527357745,2024-10-31T23:59:48.004Z
2024-11-01 23:59:48.002,279.240523445,65173.8909275,65453.290450945,2024-11-01T23:59:48.002Z
2024-11-02 23:59:48.001,279.240523445,65268.301300926,65547.700824371,2024-11-02T23:59:48.001Z
2024-11-03 23:59:48.002,279.205181404,65362.812605354,65642.176786758,2024-11-03T23:59:48.002Z
2024-11-04 23:59:48.004,279.205181404,65455.703443721,65735.067625125,2024-11-04T23:59:48.004Z
2024-11-05 23:59:48.004,279.205181404,65550.068456335,65829.432637739,2024-11-05T23:59:48.004Z
2024-11-06 23:59:48.001,279.205181404,65645.594067082,65924.958248486,2024-11-06T23:59:48.001Z
2024-11-09 23:59:48.004,278.205181404,65940.745851606,66219.11003301,2024-11-09T23:59:48.004Z
2024-11-10 23:59:48.001,278.205181404,66039.7225577,66318.086739104,2024-11-10T23:59:48.001Z
2024-11-12 23:59:48.003,278.206181404,66233.794770618,66512.159952022,2024-11-12T23:59:48.003Z
2024-11-13 23:59:48.004,278.206181404,66330.99941156,66609.364592964,2024-11-13T23:59:48.004Z
2024-11-14 23:59:48.002,278.206181404,66427.254693911,66705.619875315,2024-11-14T23:59:48.002Z
2024-11-15 23:59:48.007,278.206181404,66522.9317899,66801.296971304,2024-11-15T23:59:48.007Z
2024-11-16 23:59:48.001,278.206181404,66619.751995639,66898.117177043,2024-11-16T23:59:48.001Z
2024-11-17 23:59:48.004,278.206181404,66717.101217844,66995.466399248,2024-11-17T23:59:48.004Z
2024-11-18 23:59:48.004,278.206181404,66813.253661229,67091.618842633,2024-11-18T23:59:48.004Z
2024-11-21 23:59:48.001,278.206181404,67101.322414389,67379.687595793,2024-11-21T23:59:48.001Z
2024-11-23 23:59:48.001,278.206181404,67293.985028327,67572.350209731,2024-11-23T23:59:48.001Z
2024-11-24 23:59:48.001,278.206181404,67388.942868721,67667.308050125,2024-11-24T23:59:48.001Z
2024-11-27 23:59:48.001,278.206181404,67686.815174943,67965.180356347,2024-11-27T23:59:48.001Z
2024-11-29 23:59:48.001,277.085678382,7857.479306666,8134.723985048,2024-11-29T23:59:48.001Z
2024-12-02 23:59:48.001,277.085678382,8053.156523125,8330.401201507,2024-12-02T23:59:48.001Z
2024-12-05 23:59:48.001,277.085678382,8258.724864922,8535.969543304,2024-12-05T23:59:48.001Z
2024-12-06 23:59:48.001,276.910805246,8328.299367093,8605.369172339,2024-12-06T23:59:48.001Z
2024-12-07 23:59:48.001,276.910805246,8398.018285496,8675.088090742,2024-12-07T23:59:48.001Z
2024-12-16 23:59:48.001,5.246e-06,9290.294319071,9290.453324317,2024-12-16T23:59:48.001Z
2024-12-18 23:59:48.001,5.246e-06,9426.305808562,9426.464813808,2024-12-18T23:59:48.001Z
2024-12-20 23:59:48.001,5.246e-06,9567.177583047,9567.336588293,2024-12-20T23:59:48.001Z
2024-12-21 23:59:48.001,5.246e-06,9640.334737964,9640.49374321,2024-12-21T23:59:48.001Z
2024-12-22 23:59:48.001,5.246e-06,9712.479262599,9712.638267845,2024-12-22T23:59:48.001Z
2025-01-13 23:59:48.001,19.600648023,11167.288610069,11187.048258092,2025-01-13T23:59:48.001Z
2025-01-21 23:59:48.001,19.600648023,11681.135194737,11700.89484276,2025-01-21T23:59:48.001Z
2025-01-23 23:59:48.001,19.399147894,11807.48899712,11827.047145014,2025-01-23T23:59:48.001Z
2025-01-29 23:59:48.001,19.245144661,12199.519216037,12218.923360698,2025-01-29T23:59:48.001Z
2025-01-31 23:59:48.001,19.245144661,12330.037344857,12349.441489518,2025-01-31T23:59:48.001Z
2025-02-01 23:59:48.001,19.245144661,12397.566405097,12416.970549758,2025-02-01T23:59:48.001Z
2025-02-11 23:59:48.001,18.845144661,13085.948250195,13104.952394856,2025-02-11T23:59:48.001Z
2025-02-13 23:59:48.001,17.526987514,13321.751294175,13339.437281689,2025-02-13T23:59:48.001Z
2025-02-17 23:59:48.001,17.526987514,14543.251787392,14560.937774906,2025-02-17T23:59:48.001Z
2025-02-18 23:59:48.001,17.526987514,15253.043777588,15270.729765102,2025-02-18T23:59:48.001Z
2025-02-20 23:59:48.001,17.526987514,15936.646314855,15954.332302369,2025-02-20T23:59:48.001Z
2025-02-24 23:59:48.001,17.20891092,15861.246085067,15878.613995987,2025-02-24T23:59:48.001Z
2025-02-27 23:59:48.001,17.2066727,15902.250094634,15919.615767334,2025-02-27T23:59:48.001Z
2025-02-28 23:59:48.001,17.2066727,15982.640061163,16000.005733863,2025-02-28T23:59:48.001Z
2025-03-04 23:59:48.001,17.2066727,16544.550898964,16561.916571664,2025-03-04T23:59:48.001Z
2025-03-12 23:59:48.001,1.593765616,17130.407430757,17132.160196373,2025-03-12T23:59:48.001Z
2025-03-20 23:59:48.001,1.333488203,17587.457567694,17588.950055897,2025-03-20T23:59:48.001Z
2025-04-01 23:59:48.001,95.360171111,18913.103687972,19008.622859083,2025-04-01T23:59:48.001Z
2025-04-08 23:59:48.001,95.360171111,19662.239136049,19757.75830716,2025-04-08T23:59:48.001Z
2025-04-09 23:59:48.001,95.360171111,19840.05848323,19935.577654341,2025-04-09T23:59:48.001Z
2025-04-11 23:59:48.001,95.360171111,20395.913516324,20491.432687435,2025-04-11T23:59:48.001Z
2025-04-13 23:59:48.001,95.360171111,20845.059338872,20940.578509983,2025-04-13T23:59:48.001Z
2025-04-15 23:59:48.001,95.360171111,21279.551653241,21375.070824352,2025-04-15T23:59:48.001Z
2025-04-17 23:59:48.001,95.360171111,21403.911207143,21499.430378254,2025-04-17T23:59:48.001Z
2025-04-18 23:59:48.001,95.360171111,21437.170292915,21532.689464026,2025-04-18T23:59:48.001Z
2025-04-22 23:59:48.001,95.360171111,21615.918802955,21711.437974066,2025-04-22T23:59:48.001Z
2025-05-02 23:59:48.001,0.007080856,22984.880001049,22985.046081905,2025-05-02T23:59:48.001Z
2025-05-07 23:59:48.001,0.006580856,23608.864952482,23609.030533338,2025-05-07T23:59:48.001Z
2025-05-11 23:59:48.001,9.745671034,23801.912946839,23811.817617873,2025-05-11T23:59:48.001Z
2025-05-14 23:59:48.001,9.744857353,23728.827560695,23738.731418048,2025-05-14T23:59:48.001Z
2025-05-18 23:59:48.001,7.739161715,24204.914409048,24212.812570763,2025-05-18T23:59:48.001Z
2025-05-21 23:46:12.001,6.953979355,24464.848838899,24471.961818254,2025-05-21T23:46:12.001Z
2025-05-26 23:59:48.001,6.145423285,25102.594061642,25108.898484927,2025-05-26T23:59:48.001Z
2025-05-31 23:59:48.001,3.21761001,25231.772065844,25235.148675854,2025-05-31T23:59:48.001Z
2025-06-01 23:59:48.001,2.638673946,25231.814039514,25234.61171346,2025-06-01T23:59:48.001Z
2025-06-03 23:59:48.001,2.638673946,25322.174619357,25324.972293303,2025-06-03T23:59:48.001Z
2025-06-06 23:59:48.001,2.148787066,25452.602684957,25454.910472023,2025-06-06T23:59:48.001Z
2025-06-11 23:59:48.001,0.649991524,25859.794553014,25860.603544538,2025-06-11T23:59:48.001Z
2025-06-13 23:59:48.001,0.389512006,26070.912685754,26071.46119776,2025-06-13T23:59:48.001Z
2025-06-14 23:59:48.001,0.289512006,26093.619570075,26094.068082081,2025-06-14T23:59:48.001Z
2025-06-19 23:59:48.001,0.167726051,26228.248422303,26228.608148354,2025-06-19T23:59:48.001Z
2025-07-04 23:59:48.001,7.760352208,26852.332995472,26860.28534768,2025-07-04T23:59:48.001Z
2025-07-10 23:59:48.001,7.489196013,27234.504586313,27242.185782326,2025-07-10T23:59:48.001Z
2025-07-15 23:59:48.001,7.405946973,27629.410367368,27637.008314341,2025-07-15T23:59:48.001Z
2025-07-16 23:59:48.001,7.277030567,27689.25190471,27696.720935277,2025-07-16T23:59:48.001Z
2025-07-25 23:59:48.001,7.277030567,27991.322529442,27998.791560009,2025-07-25T23:59:48.001Z
2025-07-27 23:59:48.001,7.277030567,27985.608965917,27993.077996484,2025-07-27T23:59:48.001Z
2025-07-29 23:59:48.001,7.277030567,27959.293002822,27966.762033389,2025-07-29T23:59:48.001Z
2025-07-30 23:59:48.001,7.277030567,27998.19532459,28005.664355157,2025-07-30T23:59:48.001Z
2025-08-01 23:59:48.001,7.277030567,27979.363944547,27986.832975114,2025-08-01T23:59:48.001Z
2025-08-03 23:59:48.001,7.275795633,28071.270749492,28078.738545125,2025-08-03T23:59:48.001Z
2025-08-06 23:59:48.001,7.265118403,28302.86193723,28310.319055633,2025-08-06T23:59:48.001Z
2025-08-07 23:59:48.001,7.265118403,28381.839256073,28389.296374476,2025-08-07T23:59:48.001Z
